"segWords","Freq"
"Medical",20
"nationwide",20
"Organisation",20
"period",20
"precautionary",20
"prompted",20
"race",20
"rapid",20
"remains",20
"restaurants",20
"seafood",20
"senior",20
"shares",20
"spoken",20
"struggling",20
"talks",20
"visiting",20
"worry",20
"ANI",19
"Breakfast",19
"BreakingNews",19
"closes",19
"considered",19
"difficult",19
"direct",19
"dish",19
"drop",19
"embassy",19
"Emergency",19
"experience",19
"fall",19
"fINE",19
"Forbidden",19
"inside",19
"ll",19
"locked",19
"monitor",19
"NHC",19
"popular",19
"preparing",19
"press",19
"provide",19
"reporting",19
"restrict",19
"sites",19
"Six",19
"Some",19
"support",19
"tells",19
"topped",19
"train",19
"Video",19
"worries",19
"Analysis",18
"Avoid",18
"buses",18
"businesses",18
"citing",18
"coming",18
"company",18
"confidence",18
"consumer",18
"correspondent",18
"Cover",18
"current",18
"dealing",18
"decide",18
"devil",18
"ea",18
"fallout",18
"france",18
"hoping",18
"hours",18
"imiG",18
"increased",18
"incubation",18
"Intelligence",18
"Johnson",18
"LISTEN",18
"mouth",18
"Nepal",18
"NOW",18
"packed",18
"partial",18
"peak",18
"PM",18
"population",18
"premier",18
"read",18
"renowned",18
"Report",18
"resolute",18
"sars",18
"scramble",18
"shared",18
"sneeze",18
"speaking",18
"subscribe",18
"traveler",18
"trips",18
"Wash",18
"Wear",18
"wxVI",18
"abroad",17
"allocates",17
"Angeles",17
"Arizona",17
"australia",17
"av",17
"bringing",17
"claimed",17
"donated",17
"flown",17
"For",17
"Four",17
"heart",17
"join",17
"key",17
"Lam",17
"Los",17
"national",17
"originally",17
"pathogen",17
"preventive",17
"researchers",17
"slow",17
"stepping",17
"Students",17
"tracked",17
"USD",17
"Videos",17
"activated",16
"Among",16
"analysis",16
"annual",16
"box",16
"changed",16
"chartering",16
"Chief",16
"community",16
"create",16
"decided",16
"determine",16
"earnings",16
"entering",16
"FDA",16
"February",16
"federal",16
"form",16
"front",16
"G",16
"Hancock",16
"Investors",16
"kills",16
"luxury",16
"Maps",16
"Matt",16
"officer",16
"Paris",16
"Plague",16
"plan",16
"porcupines",16
"presumptive",16
"prompts",16
"rail",16
"raised",16
"ramp",16
"rodents",16
"scotland",16
"separate",16
"services",16
"speaks",16
"takes",16
"telegraph",16
"Today",16
"undergoing",16
"UPDATE",16
"Vendors",16
"warn",16
"WJEo",16
"yak",16
"yuan",16
"adding",15
"airlifts",15
"alarm",15
"ale",15
"appreciates",15
"asia",15
"Carrie",15
"Concern",15
"considers",15
"constitutes",15
"contained",15
"department",15
"deployed",15
"designated",15
"halts",15
"helping",15
"HKSAR",15
"HongKong",15
"ihtc",15
"impeachment",15
"investor",15
"IqNrV",15
"January",15
"Live",15
"Ma",15
"medicines",15
"mobilizing",15
"Nearly",15
"origin",15
"overwhelmed",15
