"word1","word2","n"
"reut.rs","2tsaqm1",15
"suspends","public",15
"virus","scare",15
"wild","animal",15
"world","markets",15
"xhne.ws","iht9c",15
"xhne.ws","iqnrv",15
"1,000","beds",14
"14","people",14
"25","coronavirus",14
"50m","people",14
"abc","news",14
"abcn.ws","36epjex",14
"afp","coronavirusoutbreak",14
"asia","correspondent",14
"bobwoodruff","travels",14
"canada","confirms",14
"china","live",14
"china","pushing",14
"china","rushes",14
"china","struggles",14
"china's","death",14
"chinavirus","coronavirus",14
"chinese","nationals",14
"contracted","coronavirus",14
"contracts","coronavirus",14
"coronavirus","11",14
"coronavirus","56",14
"coronavirus","britain",14
"coronavirus","health",14
"coronavirus","hit",14
"coronavirus","read",14
"coronavirus","screening",14
"coronavirus","wuhan",14
"correspondent","chesh",14
"dailychinabriefing","1",14
"deaths","due",14
"diplomats","citizens",14
"flying","mammals",14
"ft’s","teams",14
"global","alarm",14
"global","economy",14
"gurmanbhatia","catecadell",14
"indoors","2170044",14
"indoors","indian",14
"jan","22",14
"jinping","premier",14
"killed","6",14
"kong","leader",14
"medical","supplies",14
"news","bobwoodruff",14
"patient","tests",14
"porcupines","officials",14
"report","2169747",14
"resolutely","curb",14
"scare","reports",14
"screening","measures",14
"spring","festival",14
"suspended","hoping",14
"temporarily","suspended",14
"trade","amid",14
"warning","live",14
"wuhan","pneumonia",14
"wuhan","sealed",14
"www.telegraph.co.uk","news",14
"xhne.ws","mhkqf",14
"xhne.ws","ooutg",14
"14","days",13
"authorities","confirmed",13
"cdc","advises",13
"cdc","confirmed",13
"chinese","medical",13
"chinese","respiratory",13
"cities","coronavirus",13
"close","communication",13
"coronavirus","discovered",13
"coronavirus","global",13
"cross","hospital",13
"deadly","sars",13
"extends","emergency",13
"follow","beijing's",13
"global","spread",13
"health","secretary",13
"including","237",13
"killed","106",13
"killed","hundreds",13
"li","bin",13
"mln","usd",13
"officials","confirmed",13
"outbreak","britons",13
"pneumonia","situation",13
"qualifying","tournament",13
"rapidly","spreading",13
"reports","830",13
"respiratory","expert",13
"reut.rs","2fvsgue",13
"reut.rs","30khdum",13
"reut.rs","3ayd0bx",13
"social","care",13
"stocks","fell",13
"treat","patients",13
"world","scramble",13
"world","wuhan",13
"wuhan","suspends",13
"xhne.ws","ayh0j",13
"xhne.ws","lk3oe",13
"xhne.ws","smi4h",13
"xi","warns",13
"1,287","infected",12
"11","including",12
"11ea","bdb5",12
"12","hours",12
"2","china",12
"2","chinese",12
"2,000","hospital",12
"2168484","coronavirus",12
"25","killed",12
